Gender	JobSatisfaction	CareerSatisfaction
Male	0	0
Male	5	0
Male	0	0
Male	2	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	6	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	8	0
Male	1	0
Male	0	0
Male	0	0
Male	0	0
Male	8	0
Male	0	0
Male	0	0
Male	0	0
Male	2	0
Male	0	0
Male	0	0
Male	3	0
Male	0	0
Male	0	0
Male	0	0
Male	1	0
Male	0	0
Male	1	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	6	0
Male	0	0
Male	0	0
Male	0	0
Male	7	0
Male	0	0
Male	2	0
Male	0	0
Male	2	0
Male	0	0
Male	8	0
Female	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	2	0
Male	5	0
Male	0	0
Male	3	0
Male	0	0
Female	0	0
Female	0	0
Male	0	0
Male	0	0
Male	0	0
Male	6	0
Male	2	0
Male	1	0
Male	0	0
Male	6	0
Male	0	0
Male	0	0
Male	0	0
Male	10	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Female	0	0
Male	0	0
Male	8	0
Male	7	0
Male	0	0
Male	0	0
Male	0	0
Female	3	0
Male	0	0
Male	0	0
Male	4	0
Male	7	0
Male	6	0
Male	0	0
Male	5	0
Male	0	0
Male	0	0
Female	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Female	0	0
Male	2	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	3	0
Male	6	0
Male	5	0
Male	0	0
Male	1	0
Female	7	0
Male	0	0
Male	10	0
Male	0	0
Male	4	0
Male	6	0
Male	3	0
Male	0	0
Male	5	0
Male	0	0
Male	0	0
Male	5	0
Male	0	0
Male	0	0
Male	0	0
Male	2	0
Male	1	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Female	5	0
Male	5	0
Male	0	0
Male	0	0
Male	0	0
Female	3	0
Male	0	0
Male	0	0
Female	0	0
Male	2	0
Male	0	0
Male	5	0
Male	1	0
Male	0	0
Male	0	0
Male	3	0
Male	6	0
Male	0	0
Female	0	0
Male	0	0
Male	0	0
Male	3	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	10	0
Male	0	0
Male	0	0
Male	0	0
Male	2	0
Male	0	0
Male	4	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	1	0
Male	0	0
Male	3	0
Male	2	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	5	0
Male	0	0
Male	0	0
Male	3	0
Male	0	0
Male	0	0
Male	5	0
Male	0	0
Male	0	0
Male	0	0
Male	2	0
Male	0	0
Male	0	0
Male	0	0
Male	4	0
Male	0	0
Male	1	0
Male	2	0
Male	7	0
Male	3	0
Male	10	0
Male	0	0
Male	5	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	1	0
Male	0	0
Female	3	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	9	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	1	0
Male	7	0
Male	0	0
Male	1	0
Male	0	0
Male	0	0
Male	0	0
Male	7	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	8	0
Male	0	0
Male	2	0
Female	10	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Female	3	0
Male	1	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	0	0
Male	1	0
Male	1	0
Male	6	0
Female	1	0
Female	0	0
Male	2	0
Male	1	0
Female	2	0
Male	3	0
Male	4	0
Male	1	0
Male	7	0
Male	1	0
Female	7	0
Male	0	0
Male	1	0
Male	2	0
Male	0	0
Male	0	0
Male	3	0
Male	1	0
Male	1	0
Male	1	0
Male	7	0
Male	1	0
Male	5	0
Male	10	0
Male	1	0
Female	1	0
Male	0	0
Male	1	0
Male	1	0
Male	1	0
Female	1	0
Male	1	0
Male	3	0
Male	2	0
Male	0	0
Male	1	0
Male	1	0
Male	1	0
