EmploymentStatus,FormalEducation,JobSatisfaction
Employed part-time,Secondary school,0
Employed full-time,Some college/university study without earning a bachelor's degree,0
Employed full-time,Bachelor's degree,0
Employed part-time,Secondary school,0
Employed full-time,Bachelor's degree,0
Employed full-time,Secondary school,0
Employed part-time,Bachelor's degree,6
Employed full-time,Some college/university study without earning a bachelor's degree,0
Employed full-time,Secondary school,0
Employed full-time,Secondary school,0
Employed full-time,Bachelor's degree,0
Employed full-time,Some college/university study without earning a bachelor's degree,8
Employed full-time,Master's degree,1
Employed part-time,Secondary school,0
Employed full-time,Bachelor's degree,0
Employed full-time,Master's degree,0
Employed full-time,Bachelor's degree,0
Employed full-time,Doctoral degree,0
Employed full-time,Some college/university study without earning a bachelor's degree,2
Employed full-time,I never completed any formal education,0
Employed full-time,Master's degree,0
Employed full-time,Bachelor's degree,3
Employed full-time,Bachelor's degree,0
Employed full-time,Bachelor's degree,0
Employed full-time,Bachelor's degree,0
Employed full-time,Bachelor's degree,1
Employed full-time,Bachelor's degree,0
Employed full-time,Bachelor's degree,1
Employed full-time,Bachelor's degree,0
Employed full-time,Bachelor's degree,0
Employed full-time,Doctoral degree,0
Employed part-time,Master's degree,6
Employed full-time,Some college/university study without earning a bachelor's degree,0
Employed full-time,Bachelor's degree,0
Employed full-time,Master's degree,7
Employed full-time,Bachelor's degree,0
Employed full-time,Master's degree,2
Employed full-time,Some college/university study without earning a bachelor's degree,0
Employed part-time,Secondary school,8
Employed full-time,Master's degree,0
Employed full-time,Secondary school,0
Employed full-time,Master's degree,0
Employed part-time,Some college/university study without earning a bachelor's degree,0
Employed full-time,Secondary school,0
Employed full-time,I never completed any formal education,5
Employed full-time,I prefer not to answer,0
Employed full-time,Bachelor's degree,3
Employed full-time,Master's degree,0
Employed full-time,I never completed any formal education,0
Employed full-time,Master's degree,0
Employed full-time,Secondary school,0
Employed full-time,Secondary school,0
Employed full-time,Bachelor's degree,2
Employed full-time,Bachelor's degree,1
Employed full-time,Some college/university study without earning a bachelor's degree,0
Employed full-time,Bachelor's degree,6
Employed full-time,Some college/university study without earning a bachelor's degree,0
Employed full-time,Secondary school,0
Employed part-time,Bachelor's degree,0
Employed full-time,Master's degree,0
Employed full-time,Some college/university study without earning a bachelor's degree,0
Employed full-time,Secondary school,0
Employed full-time,Doctoral degree,8
Employed full-time,Bachelor's degree,7
Employed full-time,Secondary school,0
Employed full-time,Secondary school,0
Employed full-time,Bachelor's degree,0
Employed full-time,Professional degree,4
Employed full-time,Bachelor's degree,7
Employed full-time,Bachelor's degree,6
Employed full-time,Primary/elementary school,0
Employed full-time,Some college/university study without earning a bachelor's degree,5
Employed part-time,Master's degree,0
Employed full-time,Master's degree,0
Employed full-time,Bachelor's degree,0
Employed full-time,Master's degree,0
Employed full-time,I never completed any formal education,2
Employed full-time,Bachelor's degree,0
Employed full-time,Bachelor's degree,0
Employed full-time,Bachelor's degree,0
Employed full-time,Bachelor's degree,0
Employed full-time,Bachelor's degree,3
Employed full-time,Bachelor's degree,6
Employed full-time,Bachelor's degree,1
Employed full-time,Bachelor's degree,7
Employed full-time,Bachelor's degree,0
Employed full-time,Bachelor's degree,10
Employed part-time,Secondary school,0
Employed full-time,Some college/university study without earning a bachelor's degree,4
