Country,JobSatisfaction,CareerSatisfaction
United States,NA,NA
United Kingdom,NA,NA
United Kingdom,0,0
United States,5,0
India,NA,0
Germany,NA,0
United States,2,0
India,NA,0
United States,NA,0
United Kingdom,0,0
United States,0,0
Germany,NA,0
Australia,NA,0
United States,NA,0
United States,NA,0
Australia,NA,0
Canada,0,0
India,0,0
France,8,0
United Kingdom,NA,0
United Kingdom,0,0
India,NA,0
Germany,NA,NA
Germany,0,0
India,0,0
Germany,NA,0
Italy,NA,0
United States,NA,NA
United States,NA,NA
United States,0,0
United States,NA,0
Canada,NA,0
United Kingdom,NA,0
United Kingdom,NA,0
United States,0,0
India,2,0
United States,NA,NA
Germany,NA,0
Germany,NA,0
United Kingdom,NA,0
Australia,NA,0
United States,0,0
India,0,0
United Kingdom,NA,0
United States,NA,0
United States,1,0
Australia,1,0
India,0,0
India,0,0
India,0,0
United Kingdom,0,0
United States,7,0
India,2,0
United Kingdom,NA,NA
United States,NA,0
United Kingdom,0,0
India,NA,0
China,0,0
India,NA,0
Italy,0,0
United States,NA,NA
Canada,0,0
India,0,0
United States,NA,0
United States,0,0
France,2,0
United States,5,0
United Kingdom,NA,0
United States,NA,0
India,NA,0
Brazil,0,0
United Kingdom,NA,0
Bulgaria,NA,NA
Italy,0,0
Brazil,NA,0
United Kingdom,NA,NA
United States,NA,0
United States,0,0
India,6,0
India,2,0
France,1,0
United States,0,0
United States,NA,0
India,NA,0
Germany,0,0
India,NA,0
United Kingdom,NA,0
Brazil,0,0
Italy,0,0
France,0,0
United Kingdom,8,0
United States,NA,0
India,0,0
India,0,0
India,0,0
United Kingdom,3,0
United Kingdom,0,0
United Kingdom,0,0
Germany,NA,0
United States,4,0
India,6,0
India,0,0
United States,0,0
Canada,0,0
United States,NA,NA
United States,0,0
India,0,0
Canada,0,0
India,NA,NA
United Kingdom,2,0
Germany,0,0
United States,0,0
India,0,0
India,0,0
India,3,0
United States,NA,NA
Canada,NA,NA
Germany,NA,0
United States,NA,0
United Kingdom,NA,0
Germany,0,0
Australia,NA,0
India,1,0
United States,NA,0
United States,NA,0
Italy,NA,NA
United States,0,0
United States,NA,NA
United States,NA,NA
United Kingdom,3,0
United States,0,0
India,5,0
India,0,0
India,0,0
India,0,0
India,0,0
France,NA,0
India,0,0
Germany,NA,0
Germany,2,0
United States,NA,0
India,0,0
India,0,0
China,0,0
India,0,0
United States,NA,0
Germany,5,0
United States,0,0
India,NA,0
India,0,0
Canada,3,0
Germany,0,0
India,0,0
France,2,0
Italy,5,0
Australia,1,0
Brazil,0,0
United States,0,0
India,NA,NA
United States,3,0
India,0,0
India,0,0
Germany,3,0
United States,0,0
Germany,0,0
Germany,NA,0
Germany,NA,0
India,NA,0
India,NA,0
China,0,0
India,NA,0
India,0,0
India,0,0
Canada,NA,0
Germany,2,0
United States,NA,NA
India,NA,0
Canada,NA,NA
India,0,0
India,NA,0
India,NA,NA
United Kingdom,NA,0
Italy,NA,0
Germany,NA,NA
India,NA,0
India,0,0
India,1,0
India,0,0
Brazil,3,0
India,2,0
India,0,0
India,0,0
United States,NA,NA
India,0,0
Germany,NA,0
India,0,0
India,0,0
Germany,3,0
Italy,0,0
India,5,0
India,0,0
Germany,0,0
India,0,0
Italy,2,0
Australia,0,0
India,NA,0
United Kingdom,0,0
United States,NA,NA
Iraq,4,0
Germany,NA,NA
Italy,7,0
Germany,3,0
United States,0,0
Germany,NA,NA
India,5,0
Canada,0,0
Australia,NA,0
United Kingdom,0,0
India,0,0
United States,NA,0
India,0,0
India,0,0
Germany,1,0
United Kingdom,3,0
France,NA,0
Germany,NA,0
India,0,0
United Kingdom,NA,NA
United States,NA,0
United States,0,0
United States,9,0
Australia,0,0
United States,0,0
Italy,NA,0
Belgium,0,0
United Kingdom,0,0
India,1,0
United States,NA,0
India,0,0
United Kingdom,0,0
Australia,0,0
Bulgaria,7,0
United States,0,0
India,NA,0
India,0,0
United States,NA,NA
United Kingdom,NA,NA
India,0,0
Canada,NA,NA
India,NA,0
United States,2,0
India,10,0
United States,0,0
United States,NA,0
India,NA,NA
India,NA,0
India,0,0
India,0,0
United States,NA,0
United Kingdom,NA,0
India,0,0
United Kingdom,NA,NA
France,NA,NA
India,NA,NA
United States,NA,0
United Kingdom,NA,NA
United States,NA,1
United States,1,1
Germany,6,1
India,NA,1
India,1,1
United States,NA,NA
India,0,1
India,NA,1
United States,1,1
Germany,2,1
United States,NA,1
India,7,1
Germany,NA,NA
India,1,1
Germany,7,1
Australia,1,1
United States,NA,NA
United Kingdom,2,1
Italy,0,1
India,0,1
India,1,1
India,5,1
Germany,NA,1
France,1,1
Germany,0,1
India,1,1
Germany,NA,1
United States,1,1
India,NA,1
United States,NA,NA
United States,NA,1
United Kingdom,NA,1
Germany,3,1
United States,1,1
United States,NA,NA
Germany,NA,1
United States,NA,1
United States,9,1
Germany,NA,1
India,4,1
India,3,1
India,NA,1
France,1,1
